school_name,school_address,latitude
Highland Park High School,"102 N 5th Ave, Highland Park, NJ 08904",
Manhattan Hunter Science High School,"122 Amsterdam Ave New York, NY 10023",
Suffern Senior High School,Suffern High School,
East Brunswick High School,"380 Cranbury Road E Brunswick, NJ 08816",
Metuchen High School,"400 Grove Ave Metuchen, NJ 08840",
Smithtown High School - Western Campus,"100 Central Rd Smithtown, NY 11787",
Glen Ridge High School,"200 Ridgewood Ave Glen Ridge, NJ 07028",
Parsippany High School,"309 Baldwin Rd Parsippany, NJ 07054",
New Providence High School,"35 Pioneer Dr New Providence, NJ 07974",
Wellington C. Mepham High School,"2401 Camp Ave Bellmore, NY 11710",
Rumson Fair Haven Regional High School,"74 Ridge Road Rumson, NJ 07760",
Irvington High School,"40 N Broadway Irvington, NY 10533",
Chatham High School,"255 Lafayette Avenue Chatham, NJ 07928",
Clarkstown North Senior High School,"151 Congers Rd New City, NY 10956",
Lynbrook Senior High School,"9 Union Ave Lynbrook, NY 11563",
Clarkstown South Senior High School,Clarkstown South Senior High School,
John F. Kennedy High School,"3000 Bellmore Ave Bellmore, NY 11710",
Leonia High School,Leonia High School,
Infinity Institute,"193 Old Bergen Road Jersey City, NJ 07305",
Nyack Senior High School,"360 Christian Herald Rd Nyack, NY 10960",
East Meadow High School,"101 Carman Ave East Meadow, NY 11554",
Glen Rock High School,"400 Hamilton Avenue Glen Rock, NJ 07452",
Millennium High School,"75 Broad St New York, NY 10004",
Croton-Harmon High School,Croton-Harmon High School,
Scotch Plains-Fanwood High School,"667 Westfield Road Scotch Plains, NJ 07076",
Scholars' Academy,Scholars' Academy,
Pascack Hills High School,"225 West Grand Avenue Montvale, NJ 07645",
Cranford High School,"201 West End Place Cranford, NJ 07016",
Red Bank Regional High School,"101 Ridge Road Little Silver, NJ 07739",
Randolph High School,"511 Millbrook Avenue Randolph, NJ 07869",
Huntington High School,"188 Oakwood Rd Huntington, NY 11743",
Manhattan Center for Science & Mathematics,"260 Pleasant Ave New York, NY 10029",
River Dell Regional High School,"55 Pyle Street Oradell, NJ 07649",
Commack High School,"1 Scholar Ln Commack, NY 11725",
South Side High School,"140 Shepherd St Rockville Centre, NY 11570",
Somers Senior High School,"120 Primrose St Lincolndale, NY 10540",
West Morris Central High School,West Morris Central High School,
Maspeth High School,"54-40 74th St Elmhurst, NY 11373",
Bethpage Senior High School,"10 Cherry Ave Bethpage, NY 11714",
W. Tresper Clarke High School,W. Tresper Clarke High School,
Midwood High School at Brooklyn College,"2839 Bedford Ave Brooklyn, NY 11210",
Morris Hills High School,"520 West Main Street Rockaway, NJ 07866",
Oceanside High School,"3160 Skillman Ave Oceanside, NY 11572",
Millennium Brooklyn High School,"237 7th Ave Brooklyn, NY 11215",
Francis Lewis High School,"58-20 Utopia Pky Fresh Meadows, NY 11365",
Governor Livingston High School,"175 Watchung Boulevard Berkeley Heights, NJ 07922",
Wayne Hills High School,"272 Berdan Avenue Wayne, NJ 07470",
Marlboro High School,"95 North Main Street Marlboro, NJ 07746",
Parsippany Hills High School,"20 Rita Drive Morris Plains, NJ 07950",
Hendrick Hudson High School,"61 Trolley Road Montrose, NY 10548",
Wantagh Senior High School,"3297 Beltagh Ave Wantagh, NY 11793",
Pompton Lakes High School,"44 Lakeside Avenue Pompton Lakes, NJ 07442",
John H. Glenn High School,"478 Elwood Rd Elwood, NY 11731",
Bay Shore Senior High School,"155 3rd Ave Bay Shore, NY 11706",
Baruch College Campus High School,"55 E 25th St New York, NY 10010",
Fort Lee High School,"3000 Lemoine Ave Fort Lee, NJ 07024",
Kings Collegiate Charter School,"1084 Lenox Rd, Brooklyn, NY 11212",
Locust Valley High School,Locust Valley High School,
County Prep High School,"525 Montgomery Street Jersey City, NJ 07306",
Northport Senior High School,"154 Laurel Hill Rd Northport, NY 11768",
Dobbs Ferry High School,"505 Broadway Dobbs Ferry, NY 10522",
Madison High School,"170 Ridgedale Avenue Madison, NJ 07940",
Pascack Valley High School,"200 Piermont Ave Hillsdale, NJ 07642",
Freehold Borough High School,"2 Robertsville Road Freehold, NJ 07728",
Professional Performing Arts High School," 328 W 48th St New York, NY 10036",
Freehold Borough High School,"2 Robertsville Road Freehold, NJ 07728",
Gen. Douglas MacArthur Senior High School,3369 Old Jerusalem Rd,
Smithtown High School East,"10 School St Saint James, NY 11780",
NYC iSchool,"131 Ave Of The Americas New York, NY 10013",
Mount Olive High School,Mount Olive High School,
Colts Neck High School,"59 Five Points Road Colts Neck, NJ 07722",
Massapequa High School,"4925 Merrick Rd Massapequa, NY 11758",
Ramsey High School,"256 E Main Street Ramsey, NJ 07446",
West Essex High School,"65 West Greenbrook Rd North Caldwell, NJ 07006",
New Hyde Park Memorial High School,"500 Leonard Blvd New Hyde Park, NY 11040",
Paramus High School,"99 East Century Rd Paramus, NJ 07652",
Mount Sinai High School,"110 N Country Rd Mount Sinai, NY 11766",
North Star Academy Charter School of Newark,"10 Washington Place Newark, NJ 07102",
Cresskill High School,"1 Lincoln Dr Cresskill, NJ 07626",
Valley Stream Central High School,Valley Stream Central High School,
Somerset County Vocational Tech High School,"14 Vogt Drive Bridgewater, NJ 08807",
Montville Township High School,"100 Horseneck Road Montville, NJ 07045",
Walter Panas High School,Walter Panas High School,
Monroe Township High School,"200 Schoolhouse Road Monroe Township, NJ 08831",
Islip High School,"2508 Union Blvd Islip, NY 11751",
Somerville High School,"222 Davenport St Somerville, NJ 08876",
Lakeland High School,"1349 East Main Street Shrub Oak, NY 10588",
Trumbull High School,"72 Strobel Rd Trumbull, CT 06611",
Matawan Regional High School,"450 Atlantic Avenue Aberdeen, NJ 07747",
Achievement First Bridgeport Academy,"655 Stillman St Bridgeport, CT 06608",
Columbia High School,"17 Parker Ave Maplewood, NJ 07040",
Hauppauge High School,"500 Lincoln Blvd Hauppauge, NY 11788",
Sayville High School,"20 Brook St West Sayville, NY 11796",
College of Staten Island (CSI) High School for International Studies,"100 Essex Dr Staten Island, NY 10314",
Kinnelon High School,"121 Kinnelon Road Kinnelon, NJ 07405",
Indian Hills High School,"97 Yawpo Ave Oakland, NJ 07436",
Edison High School,"50 Boulevard Of The Eagles Edison, NJ 08817",
Nanuet Senior High School,"103 Church St Nanuet, NY 10954",
Malverne Senior High School,"80 Ocean Ave Malverne, NY 11565",
Ossining High School,"29 S Highland Ave Ossining, NY 10562",
Floral Park Memorial High School,"210 Locust St Floral Park, NY 11001",
Frank Sinatra School of the Arts High School,"35-12 35th Ave, Queens, NY 11106",
John F. Kennedy Memorial High School,"200 Washington Avenue, NJ 08830",
Morris Knolls High School,"50 Knoll Drive Denville, NJ 07834",
Rutherford High School,"56 Elliott Pl Rutherford, NJ 07070",
Westwood Junior/Senior High School,"701 Ridgewood Road Township Of Washington, NJ 07676",
Whippany Park High School,"165 Whippany Road Whippany, NJ 07981",
Earl L. Vandermeulen High School,"350 Old Post Rd Port Jefferson, NY 11777",
Aviation Career & Technical High School,"45-30 36th St, NY 11101",
Hanover Park High School,"63 Mt Pleasant Avenue East Hanover, NJ 07936",
Lawrence Senior High School,"2 Reilly Rd Cedarhurst, NY 11516",
Hasbrouck Heights High School,"365 Boulevard Hasbrouck Heights, NJ 07604",
Passaic County Technical Institute,"45 Reinhardt Road Wayne, NJ 07470",
Westlake High School,"825 Westlake, NY 10594",
Point Pleasant Beach High School,"700 Trenton Avenue Point Pleasant Beach, NJ 08742",
Yonkers High School,"150 Rockland Ave Yonkers, NY 10705",
Farmingdale Senior High School,"150 Lincoln St Farmingdale, NY 11735",
Oyster Bay High School,"150 E Main St Oyster Bay, NY 11771",
Division Avenue Senior High School,"120 Division Ave Levittown, NY 11756",
Brewster High School,"50 Foggintown Rd, NY 10509",
Bergenfield High School,"80 S Prospect Ave Bergenfield, NJ 07621",
Carle Place Middle Senior High School,"168 Cherry Ln Carle Place, NY 11514",
Morristown High School,"50 Early Street Morristown, NJ 07960",
Dumont High School,"101 New Milford Ave Dumont, NJ 07628",
Kings Park High School,"200 Rt 25a Kings Park, NY 11754",
Elizabeth High School,"40 Morrell Street Elizabeth, NJ 07201",
Bayport-Blue Point High School,"200 Snedecor Ave Bayport, NY 11705",
Valley Stream South High School,"150 Jedwood Pl Valley Stream, NY 11581",
Susan E. Wagner High School,"1200 Manor Rd Staten Island, NY 10314",
New Rochelle High School,"265 Clove Rd New Rochelle, NY 10801",
Forest Hills High School,"67-01 110th St, NY 11375",
Piscataway Township High School,"100 Behmer Road Piscataway, NJ 08854",
"High School for Construction, Trades, Engineering & Architecture","94-06 104th St Ozone Park, NY 11416",
Academy of Finance & Enterprise,"30-20 Thomson Ave Long Island City, NY 11101",
Comsewogue High School,"565 Bicycle Path Port Jefferson Sta, NY 11776",
Connetquot High School,"190 7th St Bohemia, NY 11716",
Bergen Arts & Sciences Charter School,"200 Macarthur Avenue Garfield, NJ 07026",
Village School,"614 Middle Neck Rd Great Neck, NY 11023",
Old Bridge High School,Old Bridge High School,
Jonathan Dayton High School,"139 Mountain Ave Springfield, NJ 07081",
Middletown High School South,Middletown High School South,
James Caldwell High School,"265 Westville Ave West Caldwell, NJ 07006",
Park Ridge High School,"2 Park Ave Park Ridge, NJ 07656",
Central Jersey College Prep Charter School,"101 Mettlers Road Somerset, NJ 08873",
Long Beach High School,"322 Lagoon Dr WLong Beach, NY 11561",
Wayne Valley High School,"551 Valley Road Wayne, NJ 07470",
Democracy Prep Charter High School,"222 W 134th St New York, NY 10030",
Freehold Township High School,"281 Elton Adelphia Road Freehold Twp., NJ 07728",
Putnam Valley High School,"146 Peekskill Hollow Rd, NY 10579",
Hicksville High School,"180 Division Ave Hicksville, NY 11801",
All City Leadership Secondary School,"321 Palmetto St Brooklyn, NY 11237",
Manhattan Village Academy,"43 W 22nd St New York, NY 10010",
Benjamin N. Cardozo High School,"57-00 223rd St Bayside, NY 11361",
Plainedge Senior High School,"241 Wyngate Dr Massapequa, NY 11758",
High School for Dual Language & Asian Studies,"350 Grand St New York, NY 10002",
Special Music School,"129 W 67th St New York, NY 10023",
New Milford High School,"330 River Road New Milford, NJ 07646",
Secaucus High School,Secaucus High School,
West Orange High School,"51 Conforti Ave West Orange, NJ 07052",
Saunders Trades & Technical High School,"183 Palmer Rd Yonkers, NY 10701",
Central Park East High School,Central Park East High School,
Baldwin Senior High School,Baldwin Senior High School,
Tuckahoe High School,"65 Siwanoy Blvd Eastchester, NY 10707",
Brooklyn Prospect Charter School,"3002 Fort Hamilton Pkwy Brooklyn, NY 11218",
H. Frank Carey High School,"230 Poppy Ave Franklin Square, NY 11010",
Verona High School,"151 Fairview Ave Verona, NJ 07044",
Centereach High School,"14 43rd St Centereach, NY 11720",
Queens High School for Language Studies,"35-01 Union St Flushing, NY 11354",
Deer Park High School,"1 Deer Park, NY 11729",
Achievement First - Bushwick School,"1300 Greene Ave Brooklyn, NY 11237",
Academy for Careers in Television & Film,"1-50 51st Ave Long Island City, NY 11101",
Bayside High School,"32-24 Bayside, NY 11361",
Manasquan High School,"167 Broad Street Manasquan, NJ 08736",
North Salem Middle/High School,"230 June Rd North Salem, NY 10560",
Academy of American Studies,"28-04 41st Ave Long Island City, NY 11101",
Mahopac High School,"421 Baldwin Pl Rd Mahopac, NY 10541",
Valley Stream North High School,"750 Herman Ave Franklin Square, NY 11010",
Brooklyn College Academy,"350 Coney Island Ave Brooklyn, NY 11218",
North Rockland High School,"106 Hammond Rd Thiells, NY 10984",
Longwood High School,"100 Longwood Rd Middle Island, NY 11953",
West Islip Senior High School,"1 Lion's Path West Islip, NY 11795",
Shoreham-Wading River High School,"250a Rt 25a Shoreham, NY 11786",
Valhalla High School,"300 Columbus Ave Valhalla, NY 10595",
Thomas A. Edison Career & Technical High School,"165-65 84th Ave, NY 11432",
Ridgefield Memorial High School,"555 Walnut St Ridgefield, NJ 07657",
Island Trees High School,"59 Straight Ln Levittown, NY 11756",
West Babylon Senior High School,"500 Great E Neck Rd West Babylon, NY 11704",
Waldwick High School,"155 Wyckoff Avenue Waldwick, NJ 07463",
Manalapan High School,Manalapan High School,
Bronx Center for Science & Mathematics,"1363 Fulton Ave Bronx, NY 10456",
KIPP Academy Charter School,KIPP Academy Charter School,
Sachem High School East,"177 Granny Rd Farmingville, NY 11738",
Sachem High School North,"212 Smith Rd Lake Ronkonkoma, NY 11779",
Technology High School,"223 Broadway Newark, NJ 07102",
Democracy Prep Harlem Middle School,"207 W 133rd St New York, NY 10030",
Henry Hudson Regional School,"1 Grand Tour Highlands, NJ 07732",
Mineola High School,"10 Armstrong Rd Garden City Park, NY 11040",
High School of Telecommunications Arts & Technology,"350 67th St Brooklyn, NY 11220",
Babylon Junior/Senior High School,"50 Railroad Ave Babylon, NY 11702",
Point Pleasant Borough High School,"Laura Herbert Dr Point Pleasant, NJ 08742",
Tottenville High School,"100 Luten Ave Staten Island, NY 10312",
Emerson Junior/Senior High School,"131 Main Street Emerson, NJ 07630",
North Brunswick Township High School,"98 Raider Road North Brunswick, NJ 08902",
Wall High School,"1630 18th Ave Wall, NJ 07719",
Queens Metropolitan High School,"91-30 Metropolitan ave Forest Hills, NY 11375",
Roxbury High School,"One Bryant Drive Succasunna, NJ 07876",
East Islip High School,"1 Redmen St Islip Terrace, NY 11752",
Aerospace/Hydrospace Engineering & Physical Sciences at the Fairchild Wheeler Campus,"840 Old Town Road Bridgeport, CT 06606",
Spotswood High School,"105 Summerhill Road Spotswood, NJ 08884",
Howell High School,Howell High School,
Patchogue-Medford High School,"181 Buffalo Ave Medford, NY 11763",
Midland Park Jr./Sr. High School,"250 Prospect St Midland Park, NJ 07432",
Joseph A. Foran High School,Joseph A. Foran High School,
West Hempstead High School,"400 Nassau Blvd West Hempstead, NY 11552",
Newfield High School,"145 Marshall Dr Selden, NY 11784",
Lindenhurst Senior High School,"300 Charles St Lindenhurst, NY 11757",
South Plainfield High School,"200 Lake Street South Plainfield, NJ 07080",
Roselle Park High School,"185 W Webster Ave Roselle Park, NJ 07204",
Teaneck Senior High School,"100 Elizabeth Ave Teaneck, NJ 07666",
High School for Health Professions & Human Services,"345 E 15th St New York, NY 10003",
Fort Hamilton High School,"8301 Shore Rd Brooklyn, NY 11209",
Park East High School,"230 E 105th St New York, NY 10029",
Edward R. Murrow High School,Edward R. Murrow High School,
Newcomers High School,"28-01 41st Ave Long Island City, NY 11101",
Applied Technology High School,"400 Paramus Road Paramus, NJ 07652",
Ocean Township High School,"550 West Park Avenue Oakhurst, NJ 07755",
Academy for Software Engineering,"40 Irving Pl New York, NY 10003",
Miller Place High School,"15 Memorial Dr Miller Place, NY 11764",
Jackson Memorial High School,"101 Don Connor Blvd Jackson, NJ 08527",
University Neighborhood High School,"200 Monroe St New York, NY 10002",
NYC Museum School,"333 W 17th St New York, NY 10011",
Energy Tech High School,"36-41 28th St Long Island City, NY 11106",
Center Moriches High School,"311 Frowein Rd Center Moriches, NY 11934",
Elmont Memorial High School,"555 Ridge Rd Elmont, NY 11003",
Bronx Lighthouse Charter School,"1001 Intervale Ave Bronx, NY 10459",
Westhill High School,"125 Roxbury Rd Stamford, CT 06902",
Colonia High School,Colonia High School,
Brien McMahon High School,"300 Highland Avenue Norwalk, CT 06854",
Shore Regional High School,Shore Regional High School,
Pequannock Township High School,"85 Sunset Road Pompton Plains, NJ 07444",
Henry P. Becton Regional High School,"120 Paterson Ave E Rutherford, NJ 07073",
Weehawken High School,"53 Liberty Place Weehawken, NJ 07086",
Institute for Collaborative Education,"345 E 15th St New York, NY 10003",
High School for Community Leadership,"167-01 Gothic, NY 11432",
Toms River High School East,"1225 Raider Way Toms River, NJ 08753",
Seaford Senior High School,"1575 Seamans Neck Rd Seaford, NY 11783",
Pearl River High School,"275 E Central Ave Pearl River, NY 10965",
James Madison High School,"3787 Bedford Ave Brooklyn, NY 11229",
Rocky Point High School,"82 Rocky Pt-Yaphank Rd Rocky Point, NY 11778",
Palisades Park Junior/Senior High School,Palisades Park Junior/Senior High School,
Jonathan Law High School,"20 Lansdale Ave Milford, CT 06460",
Bedford Academy High School,"1119 Bedford Ave Brooklyn, NY 11217",
Frank McCourt High School,"145 W 84th St New York, NY 10024",
Hackensack High School,Hackensack High School,
Lakeland Regional High School,"205 Conklintown Road Wanaque, NJ 07465",
Talent Unlimited High School,"317 E 67th St New York, NY 10021",
Emma Lazarus High School,"100 Hester St New York, NY 10002",
Middlesex High School,"300 John F. Kennedy Drive Middlesex, NJ 08846",
William Floyd High School,"240 Mastic Beach Rd Mastic Beach, NY 11951",
Franklin High School,"500 Elizabeth Avenue Somerset, NJ 08873",
The Renaissance Charter School,"35-59 81st St Jackson Heights, NY 11372",
Metropolitan Expeditionary Learning School,"91-30 Metropolitan Ave Rego Park, NY 11374",
Port Chester Senior High School,"1 Tamarack Rd, NY 10573",
Collegiate Institute for Math & Science,"925 Astor Ave Bronx, NY 10469",
School of the Future High School,"127 E 22nd St New York, NY 10010",
Walter G. O'Connell Copiague High School,"1100 Dixon Ave Copiague, NY 11726",
Sewanhaka High School,"500 Tulip Ave Floral Park, NY 11001",
Bard Early College High School,"321 Bergen Street Newark, NJ 07103",
Cedar Grove High School,"90 Rugby Rd Cedar Grove, NJ 07009",
Bloomfield High School,"160 Broad Street Bloomfield, NJ 07003",
Success Academy Harlem 1,"34 118th New York, NY 10026",
Marble Hill High School of International Studies,"99 Terrace View Ave, NY 10463",
High School for Arts & Business,"105-25 Horace Harding, NY 11368",
New York Harbor School,New York Harbor School,
Liberty High School,"299 Sip Avenue Jersey City, NJ 07306",
Ridgefield Park Junior/Senior High School,Ridgefield Park Junior/Senior High School,
University Prep Charter High School,"600 St Ann's Ave Bronx, NY 10455",
North Babylon High School,"1 Phelps Ln North Babylon, NY 11703",
New Dorp High School,"465 New Dorp Ln Staten Island, NY 10306",
Medgar Evers College Preparatory School,"1186 Carroll St Brooklyn, NY 11225",
Williamsburg Preparatory School,"257 N 6th St Brooklyn, NY 11211",
Rachel Carson High School for Coastal Studies,"521 West Ave Brooklyn, NY 11224",
Robert F. Kennedy Community High School,"75-40 Parsons Blvd Flushing, NY 11366",
Young Womens Leadership School,"23-15 Newtown Ave, NY 11105",
Harlem Village Academy Leadership Charter School,"2351 1st Ave-4th Fl New York, NY 10035",
The High School Of Fashion Industries,"225 W 24th St New York, NY 10011",
Butler High School,"38 Bartholdi Avenue Butler, NJ 07405",
York Early College Academy,"108-35 167th St, NY 11433",
Toms River High School North,"1245 Old Freehold Road Toms River, NJ 08753",
Middletown High School North,"63 Tindall Road Middletown, NJ 07748",
Manhattan Bridges High School,"525 W 50th St New York, NY 10019",
Monmouth Regional High School,Monmouth Regional High School,
High School of Economics & Finance,"100 Trinity Pl New York, NY 10006",
Pace High School,"100 Hester St New York, NY 10002",
Boonton High School,"306 Lathrop Avenue Boonton, NJ 07005",
Jamaica Gateway to the Sciences,"167-01 Gothic, NY 11432",
High School for Environmental Studies,"444 W 56th St New York, NY 10019",
Woodbridge High School,"25 Place Woodbridge, NJ 07095",
Woodlands Senior High School,"475 W Hartsdale Ave Hartsdale, NY 10530",
Robert H. Goddard High School of Communication Arts & Technology,"138-30 Lafayette St Ozone Park, NY 11417",
Dwight Morrow High School/Academies at Englewood,"274 Knickerbocker Rd Englewood, NJ 07631",
Robert F. Wagner Jr. Secondary School for Arts & Technology,"47-07 30th Pl, NY 11101",
Achievement First - Crown Heights School,"1485 Pacific St Brooklyn, NY 11213",
KIPP STAR College Prep Charter School,KIPP STAR College Prep Charter School,
Young Women's Leadership School,"105 E 106th St New York, NY 10029",
Nutley High School,"300 Franklin Ave Nutley, NJ 07110",
Lenape Valley Regional High School,"28 Sparta Road Stanhope, NJ 07874",
Veritas Academy,"35-01 Union St Flushing, NY 11354",
New World High School,"921 E 228th St Bronx, NY 10466",
Urban Assembly Gateway School for Technology,"439 W 49th St New York, NY 10019",
Civic Leadership Academy,"45-10 94th St Elmhurst, NY 11373",
Passaic Valley Regional High School,"170 East Main Street Little Falls, NJ 07424",
OCVTS - Performing Arts Academy,"Route 547 Lakehurst, NJ 08733",
Dr. Richard Izquierdo Health & Science Charter School,"800 Home, NY 10456",
Expeditionary Learning School for Community Leaders,"2630 Benson Ave Brooklyn, NY 11214",
