,0
West Morris Mendham High School,"Address
65 East Main Street
Mendham, NJ 07945"
Ward Melville Senior High School,"Address
380 Old Town Rd
East Setauket, NY 11733"
Rye Neck Senior High School,"Address
300 Hornidge Rd
Mamaroneck, NY 10543"
Academy for Performing Arts,"Address
1776 Raritan Road
Scotch Plains, NJ 07076"
Bernards High School,"Address
25 Olcott Avenue
Bernardsville, NJ 07924"
Fairfield Warde High School,"Address
755 Melville Ave
Fairfield, CT 06825"
Middlesex County Academy for Allied Health & Biomedical Sciences,"Address
1 Convery Boulevard
Woodbridge, NJ 07095"
Fiorello H. Laguardia High School Of Music & Art & Performing Arts,"Address
100 Amsterdam Ave
New York, NY 10023"
North Shore Senior High School,"Address
450 Glen Cove Ave
Glen Head, NY 11545"
Walt Whitman High School,"Address
301 W Hills Rd
Huntington Station, NY 11746"
Pleasantville High School,"Address
60 Romer Ave
Pleasantville, NY 10570"
Leon M. Goldstein High School for the Sciences,"Address
1830 Shore Blvd
Brooklyn, NY 11235"
Mahwah High School,"Address
50 Ridge Road
Mahwah, NJ 07430"
Eastchester Senior High School,"Address
2 Stewart Pl
Eastchester, NY 10709"
Hillsborough High School,"Address
466 Raider Boulevard
Hillsborough, NJ 08844"
Bridgewater-Raritan High School,"Address
600 Garretson Road
Bridgewater, NJ 08807"
Sanford H. Calhoun High School,"Address
1786 State St
Merrick, NY 11566"
Fairfield Ludlowe High School,"Address
785 Unquowa Rd
Fairfield, CT 06824"
Watchung Hills Regional High School,"Address
108 Stirling Rd
Warren, NJ 07059"
Holmdel High School,"Address
36 Crawfords Corner Road
Holmdel, NJ 07733"
Blind Brook High School,"Address
840 King St
Rye Brook, NY 10573"
Sleepy Hollow High School,"Address
210 N Broadway
Sleepy Hollow, NY 10591"
Columbia Secondary School,"Address
425 W 123rd St
New York, NY 10027"
NYC Lab High School for Collaborative Studies,"Address
333 W 17th St
New York, NY 10011"
Fair Lawn High School,"Address
14 00 Berdan Avenue
Fair Lawn, NJ 07410"
Yorktown High School,"Address
2727 Crompond Rd
Yorktown Heights, NY 10598"
Ramapo High School,"Address
331 George Street
Franklin Lakes, NJ 07417"
Cold Spring Harbor High School,"Address
82 Turkey Ln
Cold Spring Harbor, NY 11724"
White Plains Senior High School,"Address
550 North St
White Plains, NY 10605"
Science Park High School,"Address
260 Norfolk Street
Newark, NJ 07102"
Highland Park High School,"Address
102 N 5th Ave, Highland Park, NJ 08904"
Manhattan Hunter Science High School,"Address
122 Amsterdam Ave
New York, NY 10023"
Suffern Senior High School,"Address
Suffern High School"
East Brunswick High School,"Address
380 Cranbury Road
E Brunswick, NJ 08816"
Metuchen High School,"Address
400 Grove Ave
Metuchen, NJ 08840"
Smithtown High School - Western Campus,"Address
100 Central Rd
Smithtown, NY 11787"
Glen Ridge High School,"Address
200 Ridgewood Ave
Glen Ridge, NJ 07028"
Parsippany High School,"Address
309 Baldwin Rd
Parsippany, NJ 07054"
New Providence High School,"Address
35 Pioneer Dr
New Providence, NJ 07974"
Wellington C. Mepham High School,"Address
2401 Camp Ave
Bellmore, NY 11710"
Rumson Fair Haven Regional High School,"Address
74 Ridge Road
Rumson, NJ 07760"
Irvington High School,"Address
40 N Broadway
Irvington, NY 10533"
Chatham High School,"Address
255 Lafayette Avenue
Chatham, NJ 07928"
Clarkstown North Senior High School,"Address
151 Congers Rd
New City, NY 10956"
Lynbrook Senior High School,"Address
9 Union Ave
Lynbrook, NY 11563"
Clarkstown South Senior High School,"Address
Clarkstown South Senior High School"
John F. Kennedy High School,"Address
3000 Bellmore Ave
Bellmore, NY 11710"
Leonia High School,"Address
Leonia High School"
Infinity Institute,"Address
193 Old Bergen Road
Jersey City, NJ 07305"
Nyack Senior High School,"Address
360 Christian Herald Rd
Nyack, NY 10960"
East Meadow High School,"Address
101 Carman Ave
East Meadow, NY 11554"
Glen Rock High School,"Address
400 Hamilton Avenue
Glen Rock, NJ 07452"
Millennium High School,"Address
75 Broad St
New York, NY 10004"
Croton-Harmon High School,"Address
Croton-Harmon High School"
Scotch Plains-Fanwood High School,"Address
667 Westfield Road
Scotch Plains, NJ 07076"
Scholars' Academy,"Address
Scholars' Academy"
Pascack Hills High School,"Address
225 West Grand Avenue
Montvale, NJ 07645"
Cranford High School,"Address
201 West End Place
Cranford, NJ 07016"
Red Bank Regional High School,"Address
101 Ridge Road
Little Silver, NJ 07739"
Randolph High School,"Address
511 Millbrook Avenue
Randolph, NJ 07869"
Huntington High School,"Address
188 Oakwood Rd
Huntington, NY 11743"
Manhattan Center for Science & Mathematics,"Address
260 Pleasant Ave
New York, NY 10029"
River Dell Regional High School,"Address
55 Pyle Street
Oradell, NJ 07649"
Commack High School,"Address
1 Scholar Ln
Commack, NY 11725"
South Side High School,"Address
140 Shepherd St
Rockville Centre, NY 11570"
Somers Senior High School,"Address
120 Primrose St
Lincolndale, NY 10540"
West Morris Central High School,"Address
West Morris Central High School"
Maspeth High School,"Address
54-40 74th St
Elmhurst, NY 11373"
Bethpage Senior High School,"Address
10 Cherry Ave
Bethpage, NY 11714"
W. Tresper Clarke High School,"Address
W. Tresper Clarke High School"
Midwood High School at Brooklyn College,"Address
2839 Bedford Ave
Brooklyn, NY 11210"
Morris Hills High School,"Address
520 West Main Street
Rockaway, NJ 07866"
Oceanside High School,"Address
3160 Skillman Ave
Oceanside, NY 11572"
Millennium Brooklyn High School,"Address
237 7th Ave
Brooklyn, NY 11215"
Francis Lewis High School,"Address
58-20 Utopia Pky
Fresh Meadows, NY 11365"
Governor Livingston High School,"Address
175 Watchung Boulevard
Berkeley Heights, NJ 07922"
Wayne Hills High School,"Address
272 Berdan Avenue
Wayne, NJ 07470"
Marlboro High School,"Address
95 North Main Street
Marlboro, NJ 07746"
Parsippany Hills High School,"Address
20 Rita Drive
Morris Plains, NJ 07950"
Hendrick Hudson High School,"Address
61 Trolley Road Montrose, NY 10548"
Wantagh Senior High School,"Address
3297 Beltagh Ave
Wantagh, NY 11793"
Pompton Lakes High School,"Address
44 Lakeside Avenue
Pompton Lakes, NJ 07442"
John H. Glenn High School,"Address
478 Elwood Rd
Elwood, NY 11731"
Bay Shore Senior High School,"Address
155 3rd Ave
Bay Shore, NY 11706"
Baruch College Campus High School,"Address
55 E 25th St
New York, NY 10010"
Fort Lee High School,"Address
3000 Lemoine Ave
Fort Lee, NJ 07024"
Kings Collegiate Charter School,"Address
1084 Lenox Rd, Brooklyn, NY 11212"
Locust Valley High School,"Address
Locust Valley High School"
County Prep High School,"Address
525 Montgomery Street
Jersey City, NJ 07306"
Northport Senior High School,"Address
154 Laurel Hill Rd
Northport, NY 11768"
Dobbs Ferry High School,"Address
505 Broadway
Dobbs Ferry, NY 10522"
Madison High School,"Address
170 Ridgedale Avenue
Madison, NJ 07940"
Pascack Valley High School,"Address
200 Piermont Ave
Hillsdale, NJ 07642"
Freehold Borough High School,"Address
2 Robertsville Road
Freehold, NJ 07728"
Professional Performing Arts High School,"Address 328 W 48th St New York, NY 10036"
